YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
1948,8,14,,,,,,,,,,,,,,,,0.0,0.0,,82.04,62.959999999999994,,,,,,,,,,,,,9999.0,,9999.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,,,,,,,,,,,,,
1948,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,99.0,,,,,,
1948,8,17,,,,,,,,,,,,5.0,,,,0.0,0.0,,78.98,60.980000000000004,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,
1948,8,19,,,,,,,,,,,,28.0,,,,0.0,0.0,,75.02,69.08,,,,,,,,,,,,,999.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,
1948,8,22,,,,,,,,,,,,0.0,,,,0.0,0.0,,84.02,66.02,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,9999.0,,,,,,
1948,8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,-99.0,,,,,,
1948,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,99.0,,,,,,
1948,8,25,,,,,,,,,,,,0.0,,,,0.0,0.0,,84.02,66.02,,,,,,,,,,,,,-9999.0,,-9999.0,,,,,-9999.0,,,,,,-9999.0,,,,,,
1948,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,-9.0,,,,,,
1948,8,27,,,,,,,,,,,,0.0,,,,0.0,0.0,,80.06,64.04,,,,,,,,,,,,,1.0,,999.0,,,,,1.0,,,,,,999.0,,,,,,
1948,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,-999.0,,,,,,
1948,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
1948,8,30,,,,,,,,,,,,,,,,0.0,0.0,,78.98,68.0,,,,,,,,,,,,,9999.0,,9999.0,,,,,9999.0,,,,,,1.0,,,,,,
1948,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,
1948,9,1,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.08,57.92,,,,,,,,,,,,,-9999.0,,-9999.0,,,,-9999.0,-9999.0,,,,,,-9999.0,,,,,,
1948,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,-9.0,,,,,,,-9.0,,,,,,
1948,9,3,,,,,,,,,,,,0.0,,,,0.0,0.0,,77.0,59.0,,,,,,,,,,,,,999.0,,999.0,,,,999.0,1.0,,,,,,999.0,,,,,,
1948,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,-999.0,,,,,,,-999.0,,,,,,
1948,9,6,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.08,62.959999999999994,,,,,,,,,,,,,9999.0,,9999.0,,,,9999.0,1.0,,,,,,9999.0,,,,,,
1948,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,-99.0,,,,,,,-99.0,,,,,,
1948,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,99.0,,,,,,,99.0,,,,,,
1948,9,9,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.08,62.059999999999995,,,,,,,,,,,,,1.0,,-9999.0,,,,-9999.0,1.0,,,,,,-9999.0,,,,,,
1948,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,-9.0,,,,,,,-9.0,,,,,,
1948,9,11,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.98,64.04,,,,,,,,,,,,,1.0,,999.0,,,,999.0,1.0,,,,,,999.0,,,,,,
1948,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,-999.0,,,,,,,-999.0,,,,,,
1948,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
1948,9,14,,,,,,,,,,,,20.0,,,,0.0,0.0,,82.04,69.98,,,,,,,,,,,,,1.0,,9999.0,,,,9999.0,1.0,,,,,,1.0,,,,,,
1948,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,-99.0,,,,,,,,,,,,,
1948,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,99.0,,,,,,,,,,,,,
1948,9,17,,,,,,,,,,,,0.0,,,,0.0,0.0,,77.0,60.980000000000004,,,,,,,,,,,,,1.0,,-9999.0,,,,-9999.0,1.0,,,,,,-9999.0,,,,,,
1948,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,-9.0,,,,,,,-9.0,,,,,,
1948,9,19,,,,,,,,,,,,0.0,,,,0.0,0.0,,80.96,64.04,,,,,,,,,,,,,999.0,,999.0,,,,999.0,1.0,,,,,,999.0,,,,,,
1948,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,,,,-999.0,,,,,,,-999.0,,,,,,
1948,9,22,,,,,,,,,,,,0.0,,,,0.0,0.0,,80.96,62.959999999999994,,,,,,,,,,,,,9999.0,,9999.0,,,,9999.0,1.0,,,,,,9999.0,,,,,,
1948,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,,,,-99.0,,,,,,,-99.0,,,,,,
1948,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,99.0,99.0,,,,,,99.0,,,,,,
1948,9,25,,,,,,,,,,,,0.0,,,,0.0,0.0,,71.06,53.06,,,,,,,,,,,,,-9999.0,,-9999.0,,,,-9999.0,-9999.0,,,,,,1.0,,,,,,
1948,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,-9.0,,,,-9.0,,,,,,,,,,,,,
1948,9,27,,,,,,,,,,,,0.0,,,,0.0,0.0,,71.06,51.08,,,,,,,,,,,,,999.0,,999.0,,,,999.0,1.0,,,,,,999.0,,,,,,
1948,9,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,,,,,,,
1948,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
1948,9,30,,,,,,,,,,,,,,,,0.0,0.0,,82.04,66.02,,,,,,,,,,,,,1.0,,9999.0,,,,9999.0,1.0,,,,,,1.0,,,,,,
1948,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,-99.0,,,,,,,,,,,,,
1948,10,1,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.08,62.059999999999995,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,-9999.0,,,,,,
1948,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,
1948,10,3,,,,,,,,,,,,0.0,,,,0.0,0.0,,78.98,60.980000000000004,,,,,,,,,,,,,999.0,,,,,,,1.0,,,,,,999.0,,,,,,
1948,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,,-999.0,,,,,,
1948,10,6,,,,,,,,,,,,0.0,,,,0.0,0.0,,62.059999999999995,44.06,,,,,,,,,,,,,9999.0,,,,,,,9999.0,,,,,,9999.0,,,,,,
1948,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,-99.0,,,,,,,,,,,,
1948,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,99.0,,,,,,,,,,,,
1948,10,9,,,,,,,,,,,,25.0,,,,0.0,0.0,,69.08,48.02,,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,,,,,
1948,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,-9.0,,,,,,,,,,,,
1948,10,11,,,,,,,,,,,,5.0,,,,0.0,0.0,,71.96,57.02,,,,,,,,,,,,,999.0,,,,,,,999.0,,,,,,1.0,,,,,,
1948,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,
1948,10,14,,,,,,,,,,,,0.0,,,,0.0,0.0,,64.04,51.98,,,,,,,,,,,,,9999.0,,,,,,,9999.0,,,,,,9999.0,,,,,,
1948,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,
1948,10,17,,,,,,,,,,,,46.0,,,,0.0,0.0,,64.94,60.08,,,,,,,,,,,,,-9999.0,,,,,,,1.0,,,,,,1.0,,,,,,
1948,10,19,,,,,,,,,,,,0.0,,,,0.0,0.0,,66.92,53.96,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,999.0,,,,,,
1948,10,22,,,,,,,,,,,,3.0,,,,0.0,0.0,,60.980000000000004,48.02,,,,,,,,,,,,,9999.0,,,,,,,1.0,,,,,,1.0,,,,,,
1948,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,99.0,,,,,,99.0,,,,,,
1948,10,25,,,,,,,,,,,,0.0,,,,0.0,0.0,,62.959999999999994,42.08,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,-9999.0,,,,,,
1948,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,
1948,10,27,,,,,,,,,,,,0.0,,,,0.0,0.0,,66.92,55.94,,,,,,,,,,,,,999.0,,,,,,,999.0,,,,,,999.0,,,,,,
1948,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,,,,-999.0,,,,,,,,,,,,
1948,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
1948,10,30,,,,,,,,,,,,0.0,,,,0.0,0.0,,50.0,33.08,,,,,,,,,,,,,9999.0,,,,,,,1.0,,,,,,9999.0,,,,,,
1948,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,,,,,,,,
1948,11,1,,,,,,,,,,,,0.0,,,,0.0,0.0,,62.959999999999994,50.0,,,,,,,,,,,,,-9999.0,,,-9999.0,,,,1.0,,,,,,-9999.0,,-9999.0,,,,
1948,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,-9.0,,,,,,,,,,-9.0,,-9.0,,,,
1948,11,3,,,,,,,,,,,,0.0,,,,0.0,0.0,,55.04,42.08,,,,,,,,,,,,,999.0,,,999.0,,,,999.0,,,,,,999.0,,999.0,,,,
1948,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,,-999.0,,,,,,,,-999.0,,,,
1948,11,6,,,,,,,,,,,,41.0,,,,0.0,0.0,,62.059999999999995,57.02,,,,,,,,,,,,,1.0,,,9999.0,,,,9999.0,,,,,,1.0,,9999.0,,,,
1948,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,-99.0,,,,
1948,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,99.0,,,,
1948,11,9,,,,,,,,,,,,0.0,,,,0.0,0.0,,66.02,59.0,,,,,,,,,,,,,1.0,,,-9999.0,,,,1.0,,,,,,1.0,,-9999.0,,,,
1948,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,-9.0,,,,
1948,11,11,,,,,,,,,,,,94.0,,,,0.0,0.0,,64.94,48.92,,,,,,,,,,,,,999.0,,,999.0,,,,1.0,,,,,,1.0,,999.0,,,,
1948,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,,-999.0,,,,,,,,,,,,-999.0,,,,
1948,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,9.0,,,,,,
1948,11,14,,,,,,,,,,,,,,,,0.0,0.0,,62.959999999999994,44.06,,,,,,,,,,,,,1.0,,,9999.0,,,,1.0,,,,,,1.0,,9999.0,,,,
1948,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,,,,,,,,,,-99.0,,,,
1948,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,99.0,,,,,,,,99.0,,,,
