YEAR,MONTH,DAY,TMAX,TMIN,PRCP,SNOW,SNWD,TAVG
1994,7,1,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,2,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,3,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,4,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,5,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,6,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,7,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,8,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,9,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,10,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,11,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,12,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,13,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,14,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,15,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,16,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,17,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,18,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,-1767.8200000000002
1994,7,19,-1767.8200000000002,-1767.8200000000002,0.0,0.0,0.0,84.38000000000001
1994,7,20,88.88000000000001,59.0,20.0,0.0,0.0,65.84
1994,7,21,88.88000000000001,54.86,0.0,0.0,0.0,69.08
1994,7,22,88.88000000000001,59.9,0.0,0.0,0.0,75.02
1994,7,23,95.9,61.88,0.0,0.0,0.0,78.08
1994,7,24,91.94,59.9,81.0,0.0,0.0,74.3
1994,7,25,90.86,62.959999999999994,0.0,0.0,0.0,74.48
1994,7,26,90.86,59.9,0.0,0.0,0.0,70.16
1994,7,27,90.86,55.94,0.0,0.0,0.0,71.96
1994,7,28,90.86,57.92,0.0,0.0,0.0,74.84
1994,7,29,92.84,59.9,10.0,0.0,0.0,73.94
1994,7,30,92.84,56.84,0.0,0.0,0.0,75.92
1994,7,31,97.88,66.92,0.0,0.0,0.0,79.52
1994,8,1,90.86,59.0,0.0,0.0,0.0,72.14
1994,8,2,84.91999999999999,60.98,0.0,0.0,0.0,70.52
1994,8,3,86.0,59.9,0.0,0.0,0.0,72.14
1994,8,4,86.9,55.94,5.0,0.0,0.0,70.7
1994,8,5,86.9,61.88,0.0,0.0,0.0,74.48
1994,8,6,86.9,61.88,0.0,0.0,0.0,79.16
1994,8,7,98.96,64.94,0.0,0.0,0.0,80.78
